TAXONOMIC ORDER;CATEGORY;TAXON CONCEPT ID;COMMON NAME;SCIENTIFIC NAME;SUBSPECIES COMMON NAME;SUBSPECIES SCIENTIFIC NAME
10032;species;avibase-7451A628;European Roller           ;Coracias garrulus          ;                                ;                                  
1888;species;avibase-760F307A;Common Wood-Pigeon        ;Columba palumbus           ;                                ;                                  
7672;species;avibase-76B512B1;Rüppell's Griffon        ;Gyps rueppelli             ;                                ;                                  
5934;issf;avibase-76E322E3;Whimbrel                  ;Numenius phaeopus          ;Whimbrel (European)             ;Numenius phaeopus phaeopus        
5413;slash;avibase-78C28152;Eurasian/Red-knobbed Coot ;Fulica atra/cristata       ;                                ;                                  
28978;species;avibase-7A8D10C0;Moussier's Redstart       ;Phoenicurus moussieri      ;                                ;                                  
7256;species;avibase-7AAD57AC;Little Bittern            ;Ixobrychus minutus         ;                                ;                                  
6604;species;avibase-7AB4E42B;Whiskered Tern            ;Chlidonias hybrida         ;                                ;                                  
28767;species;avibase-7C7F0DEE;Common Nightingale        ;Luscinia megarhynchos      ;                                ;                                  
6274;species;avibase-7CB8F5B7;Pomarine Jaeger           ;Stercorarius pomarinus     ;                                ;                                  
627;species;avibase-7CF91527;Ferruginous Duck          ;Aythya nyroca              ;                                ;                                  
24518;issf;avibase-7DA50B64;Scrub Warbler             ;Scotocerca inquieta        ;Scrub Warbler (Western)         ;Scotocerca inquieta saharae/theres
6720;species;avibase-7E022378;Common Loon               ;Gavia immer                ;                                ;                                  
20649;species;avibase-7E70D490;Woodchat Shrike           ;Lanius senator             ;                                ;                                  
7815;spuh;avibase-7E9CC505;Aquila sp.                ;Aquila sp.                 ;                                ;                                  
6264;spuh;avibase-7FC8B7ED;shorebird sp.             ;Charadriiformes sp.        ;                                ;                                  
6632;slash;avibase-803C64E9;Common/Arctic Tern        ;Sterna hirundo/paradisaea  ;                                ;                                  
31606;species;avibase-8049F707;Trumpeter Finch           ;Bucanetes githagineus      ;                                ;                                  
31071;issf;avibase-80A3185D;White Wagtail             ;Motacilla alba             ;White Wagtail (White-faced)     ;Motacilla alba alba/dukhunensis   
3629;species;avibase-80D4B0FE;Eurasian Nightjar         ;Caprimulgus europaeus      ;                                ;                                  
7593;species;avibase-81DB7410;Bearded Vulture           ;Gypaetus barbatus          ;                                ;                                  
7721;species;avibase-8372FFBA;Short-toed Snake-Eagle    ;Circaetus gallicus         ;                                ;                                  
9001;species;avibase-83E21A84;Marsh Owl                 ;Asio capensis              ;                                ;                                  
5964;issf;avibase-840E4B9F;Black-tailed Godwit       ;Limosa limosa              ;Black-tailed Godwit (limosa)    ;Limosa limosa limosa              
8300;spuh;avibase-84E0CEF2;hawk sp.                  ;Accipitridae sp. (hawk sp.);                                ;                                  
31434;species;avibase-84E1F114;Hawfinch                  ;Coccothraustes coccothraust;                                ;                                  
6440;species;avibase-8535345B;Herring Gull              ;Larus argentatus           ;                                ;                                  
6115;species;avibase-8548B07E;Common Sandpiper          ;Actitis hypoleucos         ;                                ;                                  
505;species;avibase-85625D75;Mallard                   ;Anas platyrhynchos         ;                                ;                                  
24819;species;avibase-85629EF4;Dartford Warbler          ;Curruca undata             ;                                ;                                  
26301;species;avibase-85B03849;Common Firecrest          ;Regulus ignicapilla        ;                                ;                                  
6361;species;avibase-86182656;Sabine's Gull             ;Xema sabini                ;                                ;                                  
23127;species;avibase-869C978C;Icterine Warbler          ;Hippolais icterina         ;                                ;                                  
7257;issf;avibase-86E6EEB4;Little Bittern            ;Ixobrychus minutus         ;Little Bittern (Little)         ;Ixobrychus minutus minutus        
6591;issf;avibase-87168739;Gull-billed Tern          ;Gelochelidon nilotica      ;Gull-billed Tern (Gull-billed)  ;Gelochelidon nilotica [nilotica Gr
31038;issf;avibase-876F7E82;Western Yellow Wagtail    ;Motacilla flava            ;Western Yellow Wagtail (flava)  ;Motacilla flava flava             
27860;species;avibase-88BB4F2A;Eurasian Blackbird        ;Turdus merula              ;                                ;                                  
24307;species;avibase-88F4B969;Willow Warbler            ;Phylloscopus trochilus     ;                                ;                                  
22114;species;avibase-89FCE277;Temminck's Lark           ;Eremophila bilopha         ;                                ;                                  
6980;species;avibase-8B879DFA;Great Shearwater          ;Ardenna gravis             ;                                ;                                  
6511;spuh;avibase-8D04DAAF;gull sp.                  ;Larinae sp.                ;                                ;                                  
7318;issf;avibase-8D6CB009;Purple Heron              ;Ardea purpurea             ;Purple Heron (Purple)           ;Ardea purpurea [purpurea Group]   
716;species;avibase-8DB64266;Red-breasted Merganser    ;Mergus serrator            ;                                ;                                  
7032;spuh;avibase-8E03D909;black-and-white shearwater;Puffinus sp. (black-and-whi;                                ;                                  
6136;species;avibase-8E67DC5F;Wood Sandpiper            ;Tringa glareola            ;                                ;                                  
29153;issf;avibase-8EC7846A;Northern Wheatear         ;Oenanthe oenanthe          ;Northern Wheatear (Eurasian)    ;Oenanthe oenanthe oenanthe/libanot
8987;species;avibase-8F123A11;Short-eared Owl           ;Asio flammeus              ;                                ;                                  
1830;species;avibase-8F269702;Great Crested Grebe       ;Podiceps cristatus         ;                                ;                                  
5380;species;avibase-8F82FF8C;Eurasian Moorhen          ;Gallinula chloropus        ;                                ;                                  
23129;spuh;avibase-8FB8FBF2;Hippolais sp.             ;Hippolais sp.              ;                                ;                                  
2858;species;avibase-90194DA5;Crowned Sandgrouse        ;Pterocles coronatus        ;                                ;                                  
24809;slash;avibase-905A5016;Moltoni's/Western/Eastern ;Curruca subalpina/iberiae/c;                                ;                                  
450;species;avibase-90E2543E;Blue-winged Teal          ;Spatula discors            ;                                ;                                  
5516;species;avibase-9106EBE6;Little Crake              ;Zapornia parva             ;                                ;                                  
629;hybrid;avibase-914FC9FE;Common Pochard x Ferrugino;Aythya ferina x nyroca     ;                                ;                                  
6082;species;avibase-9151E0BA;Common Snipe              ;Gallinago gallinago        ;                                ;                                  
469;issf;avibase-9227AE60;Gadwall                   ;Mareca strepera            ;Gadwall (Common)                ;Mareca strepera strepera          
19140;species;avibase-92A772BB;Eurasian Golden Oriole    ;Oriolus oriolus            ;                                ;                                  
6387;slash;avibase-92C54736;Slender-billed/Black-heade;Chroicocephalus genei/ridib;                                ;                                  
8919;species;avibase-939BB045;Maghreb Owl               ;Strix mauritanica          ;                                ;                                  
2851;species;avibase-942BC618;Spotted Sandgrouse        ;Pterocles senegallus       ;                                ;                                  
23564;species;avibase-94A1C447;Bank Swallow              ;Riparia riparia            ;                                ;                                  
27232;species;avibase-94A44032;European Starling         ;Sturnus vulgaris           ;                                ;                                  
9547;species;avibase-9505E03D;Common Kingfisher         ;Alcedo atthis              ;                                ;                                  
24779;species;avibase-95E7E0E5;Western Orphean Warbler   ;Curruca hortensis          ;                                ;                                  
